State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
Assam_Hailakandi,1.4375,2.0625,2.1425,3.095,1.3775,1.003333333,2.616666667,2.843333333,2.37,0.926666667,0.595,0.46,0.19,0.425,0.66,1.192218152,1.10660727,1.138978869
Assam_Jorhat,2.288181818,2.217272727,2.909090909,2.001818182,1.890909091,1.626363636,1.342,2.429,2.852222222,1.86,1.783333333,1.75875,1.8975,2.0525,1.73,2.019029164,1.674286258,1.886399201
Assam_Kamrup,1.990625,2.635625,2.438125,1.762666667,2.772307692,1.846923077,2.673846154,2.143846154,2.562307692,2.104285714,2.367333333,2.846,2.25375,2.732666667,2.432142857,2.634003966,2.51159247,2.69481498
Assam_Kamrup Metropolitan,1.726153846,2.182307692,1.726923077,2.206153846,1.92,2.228333333,2.146363636,1.693636364,2.136363636,2.148181818,2.045,2.199,2.306,2.647272727,2.106363636,2.413239149,2.226661088,2.615373538
Assam_Karbi Anglong,3.97826087,4.514782609,4.433478261,4.485652174,4.592173913,4.841666667,4.06125,5.350833333,4.462608696,3.213478261,3.480869565,4.742857143,4.853636364,5.062727273,3.495238095,4.912866397,3.759548664,4.918031321
Assam_Karimganj,2.44,2.726666667,1.364444444,1.793333333,1.427777778,1.288888889,2.068888889,1.78625,1.27,0.868888889,1.008888889,0.648571429,1.018333333,0.866666667,1.075,0.927897487,1.049402534,1.014766006
Assam_Kokrajhar,10.04666667,11.02666667,10.4,10.58666667,10.76,9.776666667,10.82666667,10.82666667,11.19666667,11.48666667,11.19333333,11.32,11.45,12.09333333,11.8,12.32783129,11.50202427,12.31826042
Assam_Lakhimpur,2.074117647,2.372352941,2.129411765,2.02,2.041764706,2.297058824,2.532352941,2.178235294,1.956875,3.029375,2.236,2.07875,1.905384615,1.793571429,2.08,1.917925247,2.407546548,1.965016952
Assam_Morigaon,1.851666667,1.485,1.392857143,1.15,1.703333333,1.321666667,1.408333333,1.061666667,1.472,1.378,2.606,3.278333333,3.515,3.373333333,2.176,3.262744105,2.575944499,3.309477129
Assam_Nagaon,3.128,3.7955,2.992,3.116666667,3.563888889,2.788333333,2.868235294,2.901176471,2.757058824,2.684705882,3.398823529,4.099444444,3.603684211,3.163157895,2.6575,3.395218091,2.929785713,3.480392389
Assam_Nalbari,1.8,1.255,1.815,1.29,2,1.86,1.96,2.305,1.54,1.54,1.868976768,1.893063545,1.917150322,1.9412371,1.965323877,1.806187578,1.551168114,1.823128436
Assam_Sivasagar,2.314545455,2.773636364,2.839,2.904,3.018,2.744,2.328888889,2.836666667,3.646363636,2.323636364,2.379090909,2.782,2.311,2.291111111,1.752222222,2.466776018,2.565191914,2.517348157
Assam_Sonitpur,2.561666667,3.38,2.711111111,2.544117647,2.738235294,2.858823529,2.9875,2.803125,3.225294118,4.470588235,2.979375,2.658666667,2.894,2.96,3.395,3.065561288,3.337147814,3.125006832
Assam_Tinsukia,3.374285714,3.47,3.363571429,2.861428571,2.557692308,2.44,2.849230769,2.627692308,3.018461538,1.274615385,2.101538462,2.780769231,2.402307692,2.958333333,2.6625,2.840099255,2.991178884,2.914750963
Assam_Udalguri,2.258571429,2.912857143,2.980714286,3.022142857,3.494,2.595333333,2.779333333,3.257857143,2.837142857,3.603076923,2.088333333,2.917333333,2.292,2.398666667,2.457142857,2.569526155,2.470079774,2.708667417
Bihar_Araria,2.66,1.975,3.37,2.515,3,3.235,3.35,3.5,2.605,3.21,4.705,2.865,3.05,2.89,3.28,2.912798074,3.137425298,2.988354979
Bihar_Arwal,4.3325,2.835,3.4425,3.6025,3.3875,5.0325,3.77,3.19,4.5175,4.2275,4.2525,3.565,4.18,4.1925,2.96,4.238226775,3.341041406,4.128381353
Bihar_Aurangabad,3.958181818,2.796363636,2.861818182,3.803636364,3.025555556,5.762222222,3.032222222,4.105555556,4.675454545,5.047272727,4.874545455,3.476666667,3.855555556,3.943333333,3.077777778,4.35308997,3.93652274,4.255293791
Bihar_Banka,2.83125,2.73125,3.92625,3.14,3.09625,4.2125,3.02625,3.4925,3.87375,2.72375,5.03875,4.1475,2.755,3.29,4.5575,3.320361084,4.058130026,3.448494168
Bihar_Begusarai,4.545555556,4.812,3.719,2.314545455,5.219090909,5.338181818,4.333636364,5.565454545,4.462727273,3.265454545,5.009090909,3.795,4.091,3.78,3.594,4.53715963,3.466640677,4.139206841
Bihar_Bhagalpur,2.435454545,3.701818182,4.240909091,2.703636364,3.75,5.631818182,3.916363636,4.917272727,3.682727273,5.183636364,4.605454545,4.815454545,3.183636364,4.983636364,5.355454545,4.778765236,5.072079832,4.76606929
Bihar_Bhojpur,4.814444444,3.83,4.49375,3.65625,4.05125,5.2,2.93125,3.535,2.683333333,3.342222222,5.311111111,2.82625,3.5975,3.18875,2.66375,3.454811636,2.954932617,3.514914449
Bihar_Buxar,4.294,3.238,2.94,4.504,4.788,4.426,3.168,4.726,3.578,4.472,5.386,2.898,4.382,3.856,3.82,4.066417399,3.883480771,4.077627189
Bihar_Darbhanga,2.993333333,2.752222222,2.422222222,2.6875,2.15875,2.59625,2.4875,3.315,2.50375,2.35375,3.613333333,3.861111111,3.026666667,3.747777778,2.16875,3.09481947,2.610515328,3.213336312
Bihar_Gaya,5.604166667,4.030909091,3.332727273,4.585454545,4.424545455,5.728181818,6.411111111,6.4575,6.596666667,5.07125,6.2625,5.395714286,6.398571429,6.682857143,5.125,6.512504057,5.387386488,6.133620101
Bihar_Gopalganj,2.49,2.127692308,1.792857143,2.023571429,2.429285714,2.445714286,2.331666667,2.471818182,1.950909091,1.873636364,2.64,3.051666667,2.432307692,2.636923077,1.730769231,2.636333306,2.192549766,2.653078056
Bihar_Jamui,4.632857143,5.384285714,5.54,6.392857143,6.187142857,7.615714286,5.99,5.887142857,6.068571429,6.867142857,7.864285714,4.904285714,5.87,5.915714286,4.51,6.25520865,4.871237396,6.202869744
Bihar_Jehanabad,3.218,1.98,1.544,2.786,4.22,5.948,4.584,3.696,4.538,4.59,4.416,4.384,3.634,5.094,3.9,4.910456262,4.082141795,4.890708134
Bihar_Kaimur,5.574444444,4.421111111,4.406666667,5.836666667,5.475555556,6.001111111,4.951,5.333,4.195,5.19,7.085,3.76,6.77,6.967,3.743,5.906431866,5.85044256,6.066678582
Bihar_Katihar,2.801428571,2.562,3.636666667,3.205333333,3.295333333,3.806666667,3.172,3.765333333,3.249333333,3.530714286,3.937857143,3.499166667,2.851428571,3.517857143,3.125,3.320699014,3.273055584,3.433814909
Bihar_Khagaria,4.99875,4.3225,5.025,4.65625,4.6825,5.202857143,3.867142857,5.204285714,3.608571429,3.995,4.42375,3.4125,4.43,4.33,3.46625,4.290266747,3.653305839,4.192143966
Bihar_Kishanganj,3.342857143,2.594285714,3.861428571,3.667142857,3.567142857,3.687142857,4.116666667,3.15,4.395,4.666,4.965,3.985,3.8325,3.9775,3.9175,4.383273273,4.093045229,4.17096603
Bihar_Lakhisarai,5.264,4.8,4.724,4.59,5.01,5.61,3.684,4.804,4.528,5.15,6.458,4.5125,4.9375,3.6475,4.6475,3.99079741,4.229063322,4.472621542
Bihar_Madhepura,1.763333333,2.395,2.48,3.571666667,3.313333333,3.593333333,3.22,3.944,2.978,3.206,3.374,2.714,3.248,2.618,2.656,2.757960147,2.851854748,3.048383972
Bihar_Madhubani,2.947142857,2.807142857,2.078125,3.042666667,2.526428571,2.754285714,2.515833333,3.531666667,3.069333333,2.299333333,3.627857143,2.767142857,2.147857143,1.755714286,2.212307692,2.052182517,2.341701955,2.2042124
Bihar_Munger,2.84875,3.575,3.57125,3.2,3.3,4.82625,3.7225,4.39625,3.2325,3.68125,4.80625,2.9125,2.52125,2.5925,3.1225,3.050378934,2.909500533,3.076313649
Bihar_Muzaffarpur,3.28,2.738947368,2.582631579,2.611578947,3.030555556,3.923157895,2.663888889,3.281111111,3.225,3.021666667,4.567777778,4.002222222,4.119444444,3.897222222,2.945,4.145886034,3.685330039,3.892626505
Bihar_Nalanda,2.751111111,2.126666667,1.543333333,2.26,3.424444444,4.19,2.56125,2.222222222,2.994444444,2.632222222,3.821111111,2.785555556,3.847777778,4.072222222,3.31,3.690210234,3.300934842,3.682546241
Bihar_Nawada,4.74375,2.6275,2.453333333,2.77625,3.1175,3.725,3.575,4.23,3.147142857,3.161428571,3.825,2.9275,4.57375,5.1125,4.69375,4.744845964,3.733293325,4.737621519
Bihar_Pashchim Champaran,3.592,3.507,3.819,3.708,3.086,2.654,2.937777778,2.66375,2.5925,2.465555556,3.398888889,2.304444444,3.146666667,2.113333333,2.953333333,2.420987375,2.82344184,2.407888101
Bihar_Patna,3.753,3.478,3.065454545,3.731818182,3.902727273,5.37,3.026,3.143,3.864,3.593,4.419,3.295,3.747272727,3.633636364,3.485454545,4.080747106,3.277737991,3.889294661
Bihar_Purba Champaran,3.364,3.324,3.158666667,3.122857143,2.491428571,2.784285714,2.992142857,2.941428571,2.332857143,2.239285714,2.928,2.564666667,2.793333333,1.87,2.450714286,2.201940789,2.521645558,2.302502021
Bihar_Purnia,2.963333333,2.348571429,3.032857143,2.531428571,2.614285714,3.447142857,2.525,3.201428571,2.691666667,2.931666667,3.708333333,2.636,2.328,3.641666667,2.85,3.153837278,3.056798009,3.144623691
Bihar_Rohtas,5.163076923,4.003846154,4.121538462,5.077692308,4.193846154,4.946153846,3.883076923,4.175384615,3.653846154,4.624615385,5.247692308,3.273846154,4.158461538,3.783846154,4.560769231,3.916116436,4.379967587,3.94666498
Bihar_Saharsa,2.212222222,2.31,1.95875,2.515555556,2.855555556,3.073333333,2.79625,3.214285714,2.541428571,2.325714286,2.3325,1.8175,2.77625,3.11625,2.30375,2.758194871,2.549467668,2.921832701
Bihar_Samastipur,4.76,4.398,2.813,2.921,4.701,6.355555556,5.401111111,5.936666667,5.051111111,5.012222222,5.537777778,6.011111111,5.386666667,4.381111111,5.174444444,5.234794226,4.472571858,4.5412955
Bihar_Saran,3.449166667,3.855,2.9575,2.799166667,4.133333333,4.155,3.114166667,3.9925,2.961666667,3.29,4.7125,3.4725,4.044166667,4.6075,2.795833333,4.470277915,3.18490858,4.464074169
Bihar_Sheikhpura,4.78,3.31,3.31,3.31,6.15,6.15,7.15,3.55,5.345,1.765,2.52,2.69,3.725,3.42,3.885,3.964401746,3.660716686,3.919609942
Bihar_Sheohar,3.92,3.92,3.92,3.92,1,1.26,1.2,1,1.28,0.65,0.75,1.5,1.5,7,7,1.142063182,6.117794506,3.595786794
Bihar_Sitamarhi,2.7325,1.97,2.265,1.73,2.3,2.605,2.5625,2.5925,2.405,1.2525,2.1675,2.1975,1.7125,1.0475,1.8325,1.217520956,2.420000763,1.394967449
Bihar_Siwan,3.13,3.358,3.457272727,3.377272727,3.682727273,3.706,3.367777778,3.518888889,2.556,2.952,3.772,3.907,3.713,5.763636364,4.270909091,4.913532684,4.540058848,4.919608442
Bihar_Supaul,2.424,1.769166667,2.334166667,3.0925,2.708333333,2.400909091,2.281,2.74,2.07,2.17,2.0825,2.091666667,2.273333333,1.6075,2.025,1.946876087,2.364071402,2.16559571
Bihar_Vaishali,4.884285714,3.891666667,3.815,3.455,4.693333333,5.515,4.283333333,3.615,3.724285714,3.874285714,5.148571429,4.645,4.013333333,3.54,3.323333333,3.898991937,3.608497545,4.092559871
Chandigarh_Chandigarh,13.355,13.67285714,16.94818182,15.74181818,16.81090909,15.65545455,17.92636364,17.11636364,16.92272727,17.75363636,16.66454545,18.47636364,18.954,17.62818182,16.66090909,18.12435663,16.55364667,17.87111998
Chhattisgarh_Bastar,3.518461538,2.9724,3.349583333,3.035454545,3.952380952,3.738571429,4.547619048,4.39,4.4975,4.583809524,4.8805,3.58,3.744545455,4.743478261,3.712083333,4.668102369,3.815206529,4.656723628
