Year,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
Monsoon,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,6.3701886869283495,2.7461499869508303,5.5891552374459925,3.905587543316254,6.195649639765531,3.26240879696165,6.157755490947124,5.215533702272953,6.4961161686910485,3.983909524571936,6.455475482833347,3.670113330551661,6.351443084546458,5.406475490329743,8.225788598412407,5.127405047018509,7.298919580823483,5.495657435948498,8.12506416526705,3.616295422995422,5.944777783162398,4.474054056754057,6.7489050872666265,3.343563591978977,5.688929075675229,4.252791206929668,6.053104617196922,4.795315054938132,5.7707833178217784,3.2940254740300405,5.336519648978472,4.477873876536259,6.691085336927132,4.24769339966393,6.730995255843495,3.8116566278967134,6.11815001559923,5.177111115834003,6.871260654507716,5.350702682109649,6.61769199426504,5.285926086738756,7.901651231695964,4.597499691923431,7.355832906446099,5.959837914829463,7.748939737018665,4.521017045793996,7.06138439,4.695044341,7.085667897,4.694077163999999,6.8063992870000005,4.595349005
Arunachal Pradesh,2.9658333333333333,2.7438888888888893,3.24625,3.8810416666666665,3.0387500000000003,3.316041666666666,3.854166666666667,4.5964583333333335,4.912708333333334,4.427083333333333,6.678541666666668,4.1745833333333335,4.318958333333334,3.431875,3.1910416666666666,3.23125,2.441875,3.881666666666667,3.131666666666667,3.3120833333333333,4.376458333333334,3.68125,3.800208333333333,3.7041666666666666,4.776666666666666,3.6585416666666655,5.321041666666667,3.962916666666666,5.519166666666668,4.5775000000000015,5.342291666666667,4.57375,5.17375,4.03875,5.3,3.9375,4.90125,4.137291666666666,5.426041666666666,3.6452083333333336,4.6850000000000005,3.43,4.946458333333333,4.0720833333333335,4.7352083333333335,4.179375,5.7875000000000005,4.8220833333333335,5.605561252,4.622991788,5.381834852999999,4.319844744,5.353623299,4.302599316
Assam,3.032255807166689,2.5553569351408822,3.567855151106204,3.005253828130934,3.1104429249233743,2.7566383993732444,3.7760768067879824,2.709084301841949,3.219778224422636,3.0260308896658903,3.543686883126928,2.8471624884899183,3.127191204218964,3.05601720181528,3.128211665439889,2.7658900267259394,2.5526249217971424,2.800301112449119,2.9577085727770385,2.664889671134492,3.1846014468227355,2.9753613493079483,3.200176341072638,2.847760106839353,3.896373587713029,2.7382428183659746,3.781898589595423,2.885702687409209,4.08631556207744,2.7093590666497898,3.7620182590787787,2.940823465687153,4.216297013820769,2.9955218743360716,3.76094595979086,2.922772581099196,3.700911484471821,2.616771528612653,3.6977075950633633,2.6745545652770084,4.022539852707678,3.0912234676434664,3.8540044373754903,2.765974959718644,3.540040629370629,3.0877091729323305,3.6650292998911422,2.899018458393458,4.003690679,2.6956939810000002,4.471648049,2.930452551,4.775125331,3.5530348989999996
Bihar,4.956655113161693,3.2602536549707613,4.902908834586467,3.0975468880534662,4.71209857978279,2.873648496240602,4.7010128730918215,3.0458240012911064,4.650879234070025,3.084284793422951,4.520639847725373,3.090929103060684,4.508513214855321,3.1201502430318224,4.370156622617148,3.1131461418698265,4.398260585175059,3.4019685577580314,5.029483197012283,3.690865679641996,4.7280416317293055,3.2265248891228815,4.858215806930834,3.2635967176675282,4.813665397967682,3.3920215564820837,4.778539020689991,3.6577035442627546,5.44163526870175,4.339849150772279,5.766349827073508,3.5500373208662688,5.579773583872267,3.815945945866999,5.538849973856553,3.5112651851072902,5.042779225891066,3.4712388342651517,5.181771598284756,4.3051431047023145,5.719899601860128,3.4123676666900344,5.270181780938358,3.659308681815261,5.6453780999702055,3.8477759959338904,5.994683187426608,3.5129697590421274,5.918036025,3.754313158,5.8207207379999995,3.9954433860000003,5.357966662,4.219127769
Chandigarh,8.7125,8.925,10.096666666666666,9.971666666666666,10.071666666666667,9.433333333333332,11.412857142857144,13.16111111111111,13.595,13.75,14.01,13.452000000000002,14.43909090909091,14.384545454545453,14.967272727272727,14.850000000000005,14.777999999999999,14.702000000000002,13.671111111111115,13.355,13.71625,13.672857142857143,12.32875,16.94818181818182,17.018181818181816,15.741818181818182,16.303636363636365,16.81090909090909,16.58909090909091,15.655454545454544,16.291818181818186,17.92636363636364,17.843636363636367,17.11636363636364,18.13727272727273,16.922727272727276,17.523636363636367,17.753636363636364,18.251818181818184,16.664545454545458,16.969090909090912,18.47636363636364,19.495,18.954,19.689,17.62818181818182,18.203636363636363,16.66090909090909,18.01637742,16.73697618,18.02249836,11.7394547,17.74173493,11.71111409
Chhattisgarh,7.5323830949591635,3.90226266325814,7.724513232652455,3.9331268021689363,6.550481915485374,3.3502881909741222,7.306237152851588,4.10064998373324,7.374752537091767,4.630900094519852,8.043685594383232,3.96800817635441,7.6196842291560625,4.8755415662281445,8.257479151518872,2.7411292610275004,7.156529121805997,3.9459725903952663,7.6268729830876465,3.7432721922031873,7.401109713575798,4.1407737032080805,7.616318072857075,3.9335587416755264,7.343687935754772,4.399568823398258,7.892528106769018,4.671810577727409,7.563220353700513,4.369462102548463,7.100087367032554,4.485833807945861,7.157733128624336,4.134819234598547,7.640980579672942,4.312826082526503,7.081984677650717,3.8766785847291865,6.57859471397876,4.752511538473708,7.933167767759893,4.941984314451429,7.691328427952121,4.875439106639215,7.042682868760901,4.787437876482494,7.1007655127547125,4.778661570621251,7.234323135,4.698578565,7.531870442000001,4.569232281000001,7.710912464,4.469980971
Dadra And Nagar Haveli,,,,,,,,,,,,,,,,,,,7.81,4.633333333333334,7.318333333333332,3.34,7.078333333333332,3.316666666666667,7.245000000000001,4.168333333333334,7.506666666666668,3.045,7.208333333333332,3.7,5.283333333333333,3.865,6.873333333333332,3.3866666666666667,4.848333333333334,3.265,5.473333333333333,4.966666666666666,8.158333333333333,3.305,8.434999999999999,3.3216666666666668,8.438333333333333,3.983333333333334,8.266666666666666,4.233333333333333,9.07,3.1566666666666663,8.762239887,3.55282147,7.74502349,3.8790279780000003,7.388156574,4.131770624
