Year,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
Monsoon,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post
State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,8.12506416526705,3.616295422995422,5.944777783162397,4.474054056754057,6.7489050872666265,3.3435635919789775,5.688929075675229,4.252791206929668,6.053104617196922,4.795315054938132,5.770783317821777,3.2940254740300405,5.336519648978472,4.477873876536259,6.691085336927133,4.24769339966393,6.730995255843495,3.8116566278967134,6.11815001559923,5.177111115834003,6.871260654507716,5.350702682109649,6.61769199426504,5.285926086738756,7.901651231695964,4.597499691923431,7.355832906446098,5.959837914829463,7.748939737018665,4.521017045793996,7.06138439,4.695044341,7.085667897,4.694077163999999,6.8063992870000005,4.595349005
Arunachal Pradesh,3.131666666666667,3.3120833333333333,4.376458333333334,3.68125,3.800208333333333,3.7041666666666666,4.776666666666666,3.6585416666666655,5.321041666666667,3.962916666666666,5.519166666666668,4.5775000000000015,5.342291666666667,4.57375,5.17375,4.03875,5.3,3.9375,4.90125,4.137291666666666,5.426041666666666,3.6452083333333336,4.6850000000000005,3.43,4.946458333333333,4.0720833333333335,4.7352083333333335,4.179375,5.7875000000000005,4.8220833333333335,5.605561252,4.622991788,5.381834852999999,4.319844744,5.353623299,4.302599316
Assam,2.9577085727770385,2.6648896711344916,3.1846014468227355,2.9753613493079483,3.200176341072638,2.847760106839353,3.896373587713029,2.7382428183659746,3.781898589595423,2.885702687409209,4.08631556207744,2.7093590666497898,3.7620182590787774,2.9408234656871532,4.2162970138207685,2.995521874336072,3.7609459597908597,2.922772581099196,3.7009114844718214,2.616771528612653,3.6977075950633633,2.6745545652770084,4.022539852707678,3.0912234676434664,3.85400443737549,2.765974959718644,3.5400406293706292,3.0877091729323305,3.6650292998911422,2.899018458393458,4.003690679,2.6956939810000002,4.471648049,2.930452551,4.775125331,3.5530348989999996
Bihar,5.029483197012283,3.690865679641996,4.7280416317293055,3.226524889122881,4.858215806930834,3.263596717667528,4.813665397967682,3.392021556482084,4.778539020689991,3.6577035442627546,5.44163526870175,4.339849150772279,5.766349827073507,3.5500373208662688,5.579773583872267,3.8159459458669986,5.538849973856553,3.5112651851072902,5.042779225891066,3.471238834265152,5.181771598284756,4.3051431047023145,5.719899601860128,3.4123676666900344,5.270181780938358,3.6593086818152614,5.6453780999702055,3.8477759959338895,5.994683187426608,3.5129697590421274,5.918036025,3.754313158,5.8207207379999995,3.9954433860000003,5.357966662,4.219127769
Chandigarh,13.671111111111117,13.355,13.71625,13.672857142857143,12.32875,16.94818181818182,17.018181818181816,15.741818181818182,16.303636363636365,16.81090909090909,16.58909090909091,15.655454545454544,16.291818181818186,17.92636363636364,17.843636363636367,17.11636363636364,18.13727272727273,16.922727272727276,17.523636363636367,17.753636363636364,18.251818181818184,16.664545454545458,16.969090909090912,18.47636363636364,19.495,18.954,19.689,17.62818181818182,18.203636363636363,16.66090909090909,18.01637742,16.73697618,18.02249836,11.7394547,17.74173493,11.71111409
Chhattisgarh,7.6268729830876465,3.7432721922031873,7.401109713575798,4.1407737032080805,7.616318072857075,3.9335587416755264,7.343687935754772,4.399568823398258,7.892528106769018,4.671810577727409,7.563220353700513,4.369462102548463,7.100087367032554,4.485833807945861,7.1577331286243355,4.134819234598547,7.640980579672942,4.312826082526503,7.081984677650717,3.8766785847291865,6.57859471397876,4.752511538473708,7.933167767759893,4.941984314451429,7.691328427952121,4.875439106639215,7.0426828687609015,4.787437876482494,7.1007655127547125,4.778661570621251,7.234323135,4.698578565,7.531870442000001,4.569232281000001,7.710912464,4.469980971
Dadra And Nagar Haveli,7.81,4.633333333333334,7.3183333333333325,3.34,7.078333333333332,3.316666666666667,7.245000000000001,4.168333333333334,7.506666666666668,3.045,7.208333333333332,3.7,5.283333333333333,3.865,6.873333333333332,3.3866666666666667,4.848333333333334,3.265,5.473333333333333,4.966666666666666,8.158333333333333,3.305,8.434999999999999,3.3216666666666668,8.438333333333333,3.983333333333334,8.266666666666666,4.233333333333333,9.07,3.1566666666666663,8.762239887,3.55282147,7.74502349,3.8790279780000003,7.388156574,4.131770624
Daman And Diu,4.303333333333333,3.3716666666666666,3.9,2.703333333333333,3.666666666666667,3.51,3.9616666666666656,3.345,4.721666666666667,2.875,4.760000000000002,3.3633333333333333,4.118333333333333,2.583333333333333,4.903333333333333,3.913333333333333,7.0166666666666675,6.686666666666667,5.200000000000001,4.361666666666666,5.968333333333333,2.7716666666666665,5.721666666666668,3.86,4.088333333333333,3.291666666666667,4.39,3.4716666666666667,5.455,4.538333333333333,5.48385052,3.952764156,5.409597876,4.0495574,5.392488557999999,4.130287915
Goa,6.655249999999999,4.697000000000001,5.9257500000000025,4.811,5.883000000000001,4.257250000000001,5.4765,4.9030000000000005,6.278250000000001,4.662,6.2890000000000015,4.1835,5.75775,4.9052500000000006,5.976000000000001,4.74,6.317,4.56925,5.7945,3.89425,5.6629999999999985,4.42225,5.70825,4.567499999999999,4.632999999999999,4.50575,5.741999999999999,4.467749999999999,5.90475,4.278223684210527,6.003040245,4.300049173000001,6.224260224,4.403996081,5.606513791,4.475027694
