,State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
94,Chhattisgarh_Raipur,,,,,,,,,,,,,,,,,,
95,Chhattisgarh_Rajnandgaon,,,,,,,,,,,,,,,,,,
96,Chhattisgarh_Surguja,,,,,,,,,,,,,,,,,,
97,Chhattisgarh_Uttar Bastar Kanker,,,,,,,,,,,,,,,,,,
98,Dadra and Nagar Haveli_Dadra and Nagar Haveli,,,,,,,,,,,,,,,,,,
99,Daman and Diu_Daman,,,,,,,,,,,,,,,,,,
100,Daman and Diu_Diu,,,,,,,,,,,,,,,,,,
101,Goa_North Goa,,,,,,,,,,,,,,,,,,
102,Goa_South Goa,,,,,,,,,,,,,,,,,,
103,Gujarat_Ahmadabad,,,,,,,,,,,,,,,,,,
104,Gujarat_Amreli,,,,,,,,,,,,,,,,,,
105,Gujarat_Anand,,,,,,,,,,,,,,,,,,
106,Gujarat_Banas Kantha,,,,,,,,,,,,,,,,,,
107,Gujarat_Bharuch,,,,,,,,,,,,,,,,,,
108,Gujarat_Bhavnagar,,,,,,,,,,,,,,,,,,
109,Gujarat_Dahod,,,,,,,,,,,,,,,,,,
110,Gujarat_Gandhinagar,,,,,,,,,,,,,,,,,,
111,Gujarat_Jamnagar,,,,,,,,,,,,,,,,,,
112,Gujarat_Junagadh,,,,,,,,,,,,,,,,,,
113,Gujarat_Kachchh,,,,,,,,,,,,,,,,,,
114,Gujarat_Kheda,,,,,,,,,,,,,,,,,,
115,Gujarat_Mahesana,,,,,,,,,,,,,,,,,,
116,Gujarat_Narmada,,,,,,,,,,,,,,,,,,
117,Gujarat_Navsari,,,,,,,,,,,,,,,,,,
118,Gujarat_Panch Mahals,,,,,,,,,,,,,,,,,,
119,Gujarat_Patan,,,,,,,,,,,,,,,,,,
120,Gujarat_Porbandar,,,,,,,,,,,,,,,,,,
121,Gujarat_Rajkot,,,,,,,,,,,,,,,,,,
122,Gujarat_Sabar Kantha,,,,,,,,,,,,,,,,,,
123,Gujarat_Surat,,,,,,,,,,,,,,,,,,
124,Gujarat_Surendranagar,,,,,,,,,,,,,,,,,,
125,Gujarat_Tapi,,,,,,,,,,,,,,,,,,
126,Gujarat_The Dangs,,,,,,,,,,,,,,,,,,
127,Gujarat_Vadodara,,,,,,,,,,,,,,,,,,
128,Gujarat_Valsad,,,,,,,,,,,,,,,,,,
129,Haryana_Ambala,,,,,,,,,,,,,,,,,,
