Year,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
Monsoon,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post
Andhra Pradesh_Anantapur,12.94681818181818,7.335909090909093,8.597727272727273,9.532727272727273,11.475000000000005,6.9402272727272765,9.089545454545453,5.965227272727272,7.397954545454548,6.21090909090909,8.558181818181819,5.634318181818182,7.780909090909091,7.462954545454545,8.523863636363638,8.520909090909088,10.787954545454548,6.925238095238098,8.904390243902439,8.830749999999998,9.777499999999998,7.9758974358974335,9.45897435897436,9.93794871794872,12.61131578947369,7.752972972972972,11.002857142857142,10.20705882352941,12.710882352941177,7.668823529411764,12.70301242900001,8.584022589679996,12.686561003804991,8.822680544339997,12.66906785450227,9.027498301897694
Andhra Pradesh_Chittoor,10.997837837837839,6.3667567567567565,6.925405405405406,6.55027027027027,8.97918918918919,6.009729729729727,7.401621621621622,7.142702702702705,7.902162162162162,8.031621621621621,8.503055555555555,6.738823529411763,7.778823529411764,6.714705882352941,7.9873529411764705,6.374705882352941,8.129411764705884,6.182352941176469,8.733235294117652,8.260294117647064,9.147352941176473,7.591515151515153,6.1164516129032265,6.591379310344827,8.715769230769233,5.340833333333333,8.071739130434782,8.992608695652171,9.406363636363636,7.6545454545454525,9.389880552510007,7.917112360540005,9.369805410797914,7.272476625519994,9.357334297747881,7.97882464990201
Andhra Pradesh_East Godavari,5.357714285714286,2.8182857142857145,4.750277777777779,2.9777777777777783,4.904166666666667,2.796111111111111,4.3002777777777785,3.5177777777777783,4.800833333333334,3.1366666666666663,5.065555555555556,2.512777777777778,4.285833333333333,3.74,5.44,2.927222222222221,4.680571428571429,3.226571428571429,4.45657142857143,3.681764705882352,4.448823529411763,3.735588235294118,8.298181818181819,3.079375,8.9725,2.6013333333333337,9.932413793103446,3.013448275862069,9.457586206896547,2.773928571428572,9.424196382149994,2.89858038278,9.396211176328187,2.8680868994700006,9.373569356765318,2.9811837789924995
Andhra Pradesh_Guntur,5.145714285714287,1.9302857142857144,3.635714285714286,2.398571428571429,4.2308571428571415,2.121142857142857,3.5548571428571423,2.29,3.416285714285715,3.0542857142857147,3.3671428571428565,1.7294285714285715,3.5175757575757585,2.9918181818181817,4.7330303030303025,2.702727272727273,5.245312500000002,2.2231250000000005,4.127812499999999,3.398064516129033,5.605806451612903,4.813870967741936,5.969677419354838,3.649655172413793,5.9606896551724144,3.9193103448275872,6.018965517241377,5.088275862068966,6.2871428571428565,3.20925925925926,6.252780101249999,4.752687189529995,6.2625459712141955,3.319848551080001,6.244552626733034,4.741967897219293
Andhra Pradesh_Krishna,7.293999999999999,3.1379999999999995,5.17,3.4468000000000005,5.4368,3.1512,5.3584000000000005,3.0396000000000005,5.373599999999999,4.548799999999999,5.1423999999999985,3.0204000000000013,4.6488,4.047599999999999,6.5296,3.0556000000000005,5.592799999999999,3.3124,5.2204000000000015,3.4359999999999986,5.6628,4.4732,6.2366666666666655,3.810869565217392,6.1121739130434785,4.913181818181818,6.801818181818181,4.614347826086957,5.963478260869566,4.122608695652175,5.980980134239997,4.5542637690500065,5.9964803395911925,4.1337235146799935,5.996821564045856,4.482352316769597
Andhra Pradesh_Kurnool,8.192307692307693,3.7033333333333336,6.307692307692308,4.880000000000002,7.112564102564101,2.8589743589743595,5.346923076923076,4.3241025641025645,5.907179487179485,3.561794871794872,4.824102564102564,3.306315789473684,5.514999999999999,4.785263157894737,6.777894736842105,5.8265789473684215,7.873684210526317,5.109210526315789,7.0550000000000015,5.0371428571428565,7.563055555555558,6.6025,7.3484375,5.449375,8.826129032258063,3.797333333333334,7.037586206896551,6.280689655172412,7.767586206896553,3.7941379310344816,7.7798736624200115,5.753439025419997,7.7909119417903065,4.315754892260004,7.744949099265955,5.771558579439096
Andhra Pradesh_Prakasam,6.884062500000002,2.7487878787878786,4.317878787878788,3.642424242424244,5.50969696969697,3.0075757575757582,4.8566666666666665,4.157272727272727,5.461515151515154,4.172727272727272,4.111515151515151,2.6993750000000003,4.0525,3.92875,5.4278125,3.7331250000000007,5.488125000000001,3.2206250000000014,5.201612903225806,4.886774193548387,5.70193548387097,5.9648387096774185,6.31741935483871,5.650333333333334,6.479655172413794,5.221034482758622,6.310000000000001,5.741538461538463,6.5452,4.997200000000001,6.5471198162400075,5.318686098519997,6.544998444642697,4.799232513560003,6.554734017843011,5.286832936246801
Andhra Pradesh_Nellore,6.460857142857145,3.169714285714286,4.990857142857143,3.749428571428572,5.584,2.157142857142857,4.749142857142857,4.164571428571428,4.876857142857143,5.2700000000000005,4.743142857142859,2.608823529411765,4.027058823529411,3.24529411764706,4.6826470588235285,4.273235294117647,4.993030303030305,3.5137499999999995,5.983125,5.72125,6.480312500000003,4.193125,4.8748387096774195,4.994516129032258,7.226333333333333,4.605517241379308,6.408518518518517,6.626153846153848,7.415384615384616,4.577692307692309,7.436512736399994,5.779059381690002,7.506569489313994,4.640191166000001,7.513752745878144,5.8018801981077965
