,State,Post_2005,Post_2006,Post_2007,Post_2008,Post_2009,Post_2010,Post_2011,Post_2012,Post_2013,Post_2014,Post_2015,Post_2016,Post_2017,Post_2018,Post_2019,Post_2020,Post_2021,Post_2022
26,Telangana,5.410048128,5.917644252,6.168930148,6.203016249,7.553245679,5.15164152,7.107723761,7.342344321,5.461777731,8.854484608,10.58100923,7.028045209,7.153653911,9.430481477,7.094061856,6.929312581,6.718871001,6.674738486
27,Tripura,2.932845238,2.883821429,2.502089286,3.041428571,3.378053571,2.951865385,2.848821429,2.992660714,3.490208333,3.114192308,3.103625,2.600416667,2.105181818,2.204939394,2.33875,2.587880327,2.844144276,3.605240014
28,Uttar Pradesh,5.521652354,6.519181303,6.705796514,6.151447457,6.922270773,6.877791129,6.435150786,6.496829538,5.76323323,6.019627103,7.003809875,6.54027316,6.927856591,6.781471772,6.553450789,6.399653858,6.331075185,6.29027544
29,Uttarakhand,13.01017358,14.96225518,10.23309398,9.194322074,10.3256398,10.15351538,10.92452809,11.06457926,9.690309365,12.94666421,13.740601,13.12065619,11.59291003,11.16570602,12.57717893,12.24366037,11.27790971,10.63230641
30,West Bengal,3.691306037,4.350820413,3.987271813,3.913871075,4.453644997,5.092535531,5.142090487,5.212550884,5.042098966,5.207099762,5.839438172,5.279222407,5.156980175,5.692390858,5.453443138,5.268561067,4.931314607,4.887588354
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
