State,Pre_2005,Pre_2006,Pre_2007,Pre_2008,Pre_2009,Pre_2010,Pre_2011,Pre_2012,Pre_2013,Pre_2014,Pre_2015,Pre_2016,Pre_2017,Pre_2018,Pre_2019,Pre_2020,Pre_2021,Pre_2022
Assam_Hailakandi,1.1575,1.965,2.9225,3.6625,1.0075,1.346666667,2.703333333,2.843333333,2.843333333,2.055,0.595,0.595,0.46,0.19,0.425,1.35154916,2.047874423,1.598168141
Assam_Jorhat,1.74,2.026363636,3.972727273,3.349,2.835454545,3.912727273,2.227272727,3.539,2.813333333,2.757777778,2.348888889,2.095555556,2.29625,1.96125,2.0575,2.145343182,2.149449158,2.201102046
Assam_Kamrup,2.5225,2.665625,2.35125,3.70125,3.956666667,4.51,4.055384615,4.056923077,3.579230769,3.352142857,3.377333333,4.074,3.6075,3.335,3.214666667,3.738835007,3.806174325,3.691582501
Assam_Kamrup Metropolitan,1.903846154,1.918461538,1.123076923,2.873846154,3.978461538,4.483333333,2.860909091,4.686363636,4.781818182,2.933636364,3.974,2.732,2.803,2.648,3.294545455,2.790222869,2.856311554,2.774152386
Assam_Karbi Anglong,4.606521739,5.265652174,4.210869565,6.452173913,6.17,6.237916667,5.939166667,6.748333333,4.083043478,4.539565217,5.43173913,5.19173913,5.329047619,5.327727273,5.374090909,5.37534592,5.294298881,5.345396361
Assam_Karimganj,1.667777778,1.964444444,1.491111111,2.427777778,2.158888889,1.88,2.201111111,2.594444444,1.854444444,1.763333333,1.521111111,1.255555556,1.813333333,1.27,1.616666667,1.3225975,1.693254233,1.80088823
Assam_Kokrajhar,15.675,11.54333333,12.10666667,11.44666667,11.13333333,11.78,11.86333333,11.81,11.51,11.64333333,11.19666667,17.495,12.05666667,12.00666667,11.86666667,12.34390614,12.83617856,12.41690457
Assam_Lakhimpur,2.345294118,2.351764706,2.160588235,3.702941176,3.279411765,3.231764706,3.102352941,3.047647059,3.08875,3.029375,3.126666667,2.8925,2.807692308,2.644615385,2.807142857,2.669604243,2.673842941,2.696263433
Assam_Morigaon,2.706,2.496666667,2.29,2.971666667,2.775,3.401666667,1.715,2.156666667,1.72,4.854,4.506,4.814,4.786,3.991666667,4.713333333,4.118250588,4.681821539,4.218418494
Assam_Nagaon,3.39,3.6795,3.17,4.09,4.231111111,4.852222222,3.998888889,4.264117647,3.364117647,3.781176471,4.102352941,5.393333333,4.971052632,4.24,4.177368421,4.395404573,4.253403907,4.399128016
Assam_Nalbari,1.105,1.435,1.525,1.15,1.05,2.555,2.645,2.305,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.47065,1.588437121,1.640693602
Assam_Sivasagar,1.77,2.613636364,3.613636364,4.31,4.093,5.547,2.965555556,4.531111111,3.326363636,3.559090909,3.214545455,3.212727273,2.836,2.761,2.16,2.886147556,2.469813842,2.669947949
Assam_Sonitpur,3.341111111,3.481666667,3.530555556,4.207647059,4.442352941,3.974117647,4.22625,4.40375,4.395882353,4.470588235,4.405625,3.791333333,4.154,3.824666667,4.068666667,3.936962927,4.126157532,4.139704694
Assam_Tinsukia,2.600714286,3.189285714,3.620714286,4.322857143,3.925714286,3.880769231,3.996153846,4.364615385,4.55,3.803076923,2.481538462,2.817692308,2.893846154,2.846923077,3.143333333,3.066346984,3.023284679,3.008012687
Assam_Udalguri,2.400714286,2.835,2.31,3.474285714,3.362857143,3.814666667,3.929333333,3.743333333,3.355,3.603076923,3.545833333,3.344615385,3.342,2.987333333,2.647333333,3.083976779,3.754198247,3.128266974
Bihar_Araria,3.33,2.935,3.625,3.4,3.675,3.65,3.815,3.97,4.475,3.835,5.415,5.165,3.7,3.815,3.635,4.221752472,3.911165885,3.873215767
Bihar_Arwal,5.8625,4.9775,5.6575,6.0825,5.7425,5.785,6.8175,5.59,5.4125,4.87,5.8925,5.3025,4.8275,5.7,5.505,5.565164811,5.449752371,5.438163306
Bihar_Aurangabad,4.764545455,5.07,5.392727273,5.181818182,5.316666667,6.876666667,7.352222222,7.216666667,6.181111111,5.782727273,5.953636364,7.231818182,6.471111111,6.987777778,6.178888889,6.741735464,6.434136346,6.797039185
Bihar_Banka,4.8175,4.2775,3.71875,5.0775,5.15625,5.36,5.4775,5.66375,5.9975,4.4175,5.70625,5.77125,6.15375,6.08375,6.7225,5.833611385,6.466101123,5.964092485
Bihar_Begusarai,5.2675,6.669090909,6.667,6.725454545,6.594545455,7.315454545,7.678181818,6.915454545,7.296363636,6.470909091,5.812727273,6.113636364,6.79,6.091,7.209,6.777668941,6.790419057,6.637217647
Bihar_Bhagalpur,6.348181818,5.240909091,6.513636364,6.010909091,5.910909091,6.740909091,7.186363636,6.389090909,7.011818182,6.897272727,7.184545455,6.371818182,8.352727273,6.692727273,7.783636364,6.94515412,7.303532666,7.133671106
Bihar_Bhojpur,4.631111111,5.848888889,6.7675,5.99125,5.39625,6.2275,6.15,5.5325,5.414444444,4.732222222,5.444444444,6.312222222,5.285,5.87,6.17625,5.782765366,5.891471651,5.649908611
Bihar_Buxar,6.8,5.488,7.246,6.106,4.328,6.12,6.52,5.494,5.922,5.292,6.13,6.042,5.38,6.24,4.928,6.100715503,5.729696579,5.968071046
Bihar_Darbhanga,3.042222222,3.296666667,3.292222222,3.4325,3.2875,2.90875,4.03125,4.0725,4.3625,3.48875,3.725555556,4.611111111,4.063333333,4.34,5.072222222,3.811804841,4.814987308,4.038023348
Bihar_Gaya,6.2575,5.916363636,5.947272727,6.285454545,6.486363636,6.586363636,6.431818182,7.451111111,8.046666667,6.496666667,5.18,7.1775,8.905714286,7.724285714,8.712857143,7.52662587,8.095531133,7.682636254
